날짜,구,건수
2021-01-18,성동구,0
2021-01-18,성북구,0
2021-01-18,송파구,0
2021-01-18,양천구,216
2021-01-18,영등포구,454
2021-01-18,용산구,32
2021-01-18,은평구,392
2021-01-18,종로구,0
2021-01-18,중구,13
2021-01-18,중랑구,0
2021-01-19,강남구,8
2021-01-19,강동구,0
2021-01-19,강북구,8
2021-01-19,강서구,59
2021-01-19,관악구,1134
2021-01-19,구로구,1559
2021-01-19,금천구,367
2021-01-19,노원구,76
2021-01-19,도봉구,267
2021-01-19,동작구,779
2021-01-19,마포구,22
2021-01-19,서대문구,16
2021-01-19,서초구,193
2021-01-19,성동구,0
2021-01-19,성북구,0
2021-01-19,송파구,0
2021-01-19,양천구,212
2021-01-19,영등포구,510
2021-01-19,용산구,73
2021-01-19,은평구,392
2021-01-19,종로구,1
2021-01-19,중구,12
2021-01-19,중랑구,0
2021-01-20,강남구,9
2021-01-20,강동구,0
2021-01-20,강북구,8
2021-01-20,강서구,69
2021-01-20,관악구,1126
2021-01-20,구로구,1565
2021-01-20,금천구,414
2021-01-20,노원구,64
2021-01-20,도봉구,298
2021-01-20,동작구,859
2021-01-20,마포구,20
2021-01-20,서대문구,12
2021-01-20,서초구,193
2021-01-20,성동구,0
2021-01-20,성북구,0
2021-01-20,송파구,0
2021-01-20,양천구,218
2021-01-20,영등포구,601
2021-01-20,용산구,59
2021-01-20,은평구,415
2021-01-20,종로구,0
2021-01-20,중구,21
2021-01-20,중랑구,0
2021-01-21,강남구,10
2021-01-21,강동구,0
2021-01-21,강북구,6
2021-01-21,강서구,68
2021-01-21,관악구,1295
2021-01-21,구로구,1743
2021-01-21,금천구,409
2021-01-21,노원구,63
2021-01-21,도봉구,363
2021-01-21,동작구,912
2021-01-21,마포구,16
2021-01-21,서대문구,16
2021-01-21,서초구,208
2021-01-21,성동구,0
2021-01-21,성북구,0
2021-01-21,송파구,0
2021-01-21,양천구,274
2021-01-21,영등포구,685
2021-01-21,용산구,53
2021-01-21,은평구,472
2021-01-21,종로구,1
2021-01-21,중구,16
2021-01-21,중랑구,0
2021-01-22,강남구,6
2021-01-22,강동구,0
2021-01-22,강북구,5
2021-01-22,강서구,84
2021-01-22,관악구,1572
2021-01-22,구로구,2043
2021-01-22,금천구,491
2021-01-22,노원구,103
2021-01-22,도봉구,392
2021-01-22,동작구,1026
2021-01-22,마포구,31
2021-01-22,서대문구,18
2021-01-22,서초구,202
2021-01-22,성동구,0
2021-01-22,성북구,0
2021-01-22,송파구,0
2021-01-22,양천구,269
2021-01-22,영등포구,743
2021-01-22,용산구,55
2021-01-22,은평구,470
2021-01-22,종로구,2
2021-01-22,중구,19
2021-01-22,중랑구,0
2021-01-23,강남구,10
2021-01-23,강동구,0
2021-01-23,강북구,13
2021-01-23,강서구,86
2021-01-23,관악구,1681
2021-01-23,구로구,2327
2021-01-23,금천구,457
2021-01-23,노원구,79
2021-01-23,도봉구,450
2021-01-23,동작구,1149
2021-01-23,마포구,33
2021-01-23,서대문구,18
2021-01-23,서초구,209
2021-01-23,성동구,0
2021-01-23,성북구,0
2021-01-23,송파구,0
2021-01-23,양천구,318
2021-01-23,영등포구,716
2021-01-23,용산구,73
2021-01-23,은평구,563
2021-01-23,종로구,0
2021-01-23,중구,22
2021-01-23,중랑구,0
2021-01-24,강남구,4
2021-01-24,강동구,0
2021-01-24,강북구,12
2021-01-24,강서구,87
2021-01-24,관악구,1654
2021-01-24,구로구,2093
2021-01-24,금천구,428
2021-01-24,노원구,107
2021-01-24,도봉구,388
2021-01-24,동작구,1054
2021-01-24,마포구,39
2021-01-24,서대문구,16
2021-01-24,서초구,173
2021-01-24,성동구,0
2021-01-24,성북구,0
2021-01-24,송파구,0
2021-01-24,양천구,314
2021-01-24,영등포구,767
2021-01-24,용산구,80
2021-01-24,은평구,426
2021-01-24,종로구,2
2021-01-24,중구,16
2021-01-24,중랑구,1
2021-01-25,강남구,8
2021-01-25,강동구,0
2021-01-25,강북구,2
2021-01-25,강서구,71
2021-01-25,관악구,1166
2021-01-25,구로구,1639
2021-01-25,금천구,327
2021-01-25,노원구,63
2021-01-25,도봉구,291
2021-01-25,동작구,783
2021-01-25,마포구,15
2021-01-25,서대문구,10
2021-01-25,서초구,215
2021-01-25,성동구,0
2021-01-25,성북구,0
2021-01-25,송파구,0
2021-01-25,양천구,188
2021-01-25,영등포구,634
2021-01-25,용산구,39
2021-01-25,은평구,423
2021-01-25,종로구,0
2021-01-25,중구,6
2021-01-25,중랑구,0
2021-01-26,강남구,13
2021-01-26,강동구,0
2021-01-26,강북구,9
2021-01-26,강서구,58
2021-01-26,관악구,1254
2021-01-26,구로구,1606
2021-01-26,금천구,304
2021-01-26,노원구,80
2021-01-26,도봉구,373
2021-01-26,동작구,849
2021-01-26,마포구,22
2021-01-26,서대문구,16
2021-01-26,서초구,251
2021-01-26,성동구,0
2021-01-26,성북구,0
2021-01-26,송파구,0
2021-01-26,양천구,214
2021-01-26,영등포구,566
2021-01-26,용산구,85
2021-01-26,은평구,396
2021-01-26,종로구,1
2021-01-26,중구,22
2021-01-26,중랑구,0
2021-01-27,강남구,9
2021-01-27,강동구,0
2021-01-27,강북구,7
2021-01-27,강서구,48
2021-01-27,관악구,1185
2021-01-27,구로구,1535
2021-01-27,금천구,361
2021-01-27,노원구,60
2021-01-27,도봉구,336
2021-01-27,동작구,784
2021-01-27,마포구,24
2021-01-27,서대문구,21
2021-01-27,서초구,233
2021-01-27,성동구,0
2021-01-27,성북구,0
2021-01-27,송파구,0
2021-01-27,양천구,235
2021-01-27,영등포구,533
2021-01-27,용산구,67
2021-01-27,은평구,425
2021-01-27,종로구,0
2021-01-27,중구,23
2021-01-27,중랑구,0
2021-01-28,강남구,4
2021-01-28,강동구,0
2021-01-28,강북구,4
2021-01-28,강서구,77
2021-01-28,관악구,1122
2021-01-28,구로구,1595
2021-01-28,금천구,300
2021-01-28,노원구,50
2021-01-28,도봉구,357
2021-01-28,동작구,747
2021-01-28,마포구,29
2021-01-28,서대문구,24
2021-01-28,서초구,219
2021-01-28,성동구,0
2021-01-28,성북구,0
2021-01-28,송파구,0
2021-01-28,양천구,256
2021-01-28,영등포구,464
2021-01-28,용산구,94
2021-01-28,은평구,348
2021-01-28,종로구,3
2021-01-28,중구,25
2021-01-28,중랑구,0
2021-01-29,강남구,4
2021-01-29,강동구,0
2021-01-29,강북구,10
2021-01-29,강서구,75
2021-01-29,관악구,1480
2021-01-29,구로구,2218
2021-01-29,금천구,463
2021-01-29,노원구,86
2021-01-29,도봉구,392
2021-01-29,동작구,976
2021-01-29,마포구,44
2021-01-29,서대문구,13
2021-01-29,서초구,302
2021-01-29,성동구,0
2021-01-29,성북구,0
2021-01-29,송파구,0
2021-01-29,양천구,307
2021-01-29,영등포구,686
2021-01-29,용산구,95
2021-01-29,은평구,504
2021-01-29,종로구,3
2021-01-29,중구,25
2021-01-29,중랑구,0
2021-01-30,강남구,8
2021-01-30,강동구,0
2021-01-30,강북구,5
2021-01-30,강서구,79
2021-01-30,관악구,1751
2021-01-30,구로구,2287
2021-01-30,금천구,430
2021-01-30,노원구,100
2021-01-30,도봉구,405
2021-01-30,동작구,1102
2021-01-30,마포구,41
2021-01-30,서대문구,28
2021-01-30,서초구,292
2021-01-30,성동구,0
2021-01-30,성북구,0
2021-01-30,송파구,0
2021-01-30,양천구,311
2021-01-30,영등포구,427
2021-01-30,용산구,81
2021-01-30,은평구,511
2021-01-30,종로구,2
2021-01-30,중구,37
2021-01-30,중랑구,0
2021-01-31,강남구,3
2021-01-31,강동구,0
2021-01-31,강북구,8
2021-01-31,강서구,91
2021-01-31,관악구,1815
2021-01-31,구로구,2130
2021-01-31,금천구,444
2021-01-31,노원구,85
2021-01-31,도봉구,372
2021-01-31,동작구,1138
2021-01-31,마포구,34
2021-01-31,서대문구,43
2021-01-31,서초구,227
2021-01-31,성동구,0
2021-01-31,성북구,0
2021-01-31,송파구,0
2021-01-31,양천구,348
2021-01-31,영등포구,266
2021-01-31,용산구,91
2021-01-31,은평구,445
2021-01-31,종로구,3
2021-01-31,중구,32
2021-01-31,중랑구,0
2021-02-01,강남구,13
2021-02-01,강동구,0
2021-02-01,강북구,9
2021-02-01,강서구,77
2021-02-01,관악구,1166
2021-02-01,구로구,1414
2021-02-01,금천구,330
2021-02-01,노원구,61
2021-02-01,도봉구,212
2021-02-01,동작구,848
2021-02-01,마포구,21
2021-02-01,서대문구,17
2021-02-01,서초구,193
2021-02-01,성동구,0
2021-02-01,성북구,0
2021-02-01,송파구,0
2021-02-01,양천구,205
2021-02-01,영등포구,313
2021-02-01,용산구,25
2021-02-01,은평구,371
2021-02-01,종로구,0
2021-02-01,중구,13
2021-02-01,중랑구,0
2021-02-02,강남구,14
2021-02-02,강동구,0
2021-02-02,강북구,7
2021-02-02,강서구,63
2021-02-02,관악구,1223
2021-02-02,구로구,1464
2021-02-02,금천구,323
2021-02-02,노원구,65
2021-02-02,도봉구,323
2021-02-02,동작구,876
2021-02-02,마포구,20
2021-02-02,서대문구,29
2021-02-02,서초구,210
2021-02-02,성동구,0
2021-02-02,성북구,0
2021-02-02,송파구,0
2021-02-02,양천구,260
2021-02-02,영등포구,336
2021-02-02,용산구,88
2021-02-02,은평구,392
2021-02-02,종로구,0
2021-02-02,중구,30
2021-02-02,중랑구,0
2021-02-03,강남구,4
2021-02-03,강동구,0
2021-02-03,강북구,5
2021-02-03,강서구,54
2021-02-03,관악구,1007
2021-02-03,구로구,1377
2021-02-03,금천구,268
2021-02-03,노원구,51
2021-02-03,도봉구,257
2021-02-03,동작구,698
2021-02-03,마포구,20
2021-02-03,서대문구,12
2021-02-03,서초구,200
2021-02-03,성동구,0
2021-02-03,성북구,0
2021-02-03,송파구,0
2021-02-03,양천구,183
2021-02-03,영등포구,298
2021-02-03,용산구,71
2021-02-03,은평구,322
2021-02-03,종로구,0
2021-02-03,중구,25
2021-02-03,중랑구,0
2021-02-04,강남구,5
2021-02-04,강동구,0
2021-02-04,강북구,2
2021-02-04,강서구,86
2021-02-04,관악구,554
2021-02-04,구로구,1394
2021-02-04,금천구,32
2021-02-04,노원구,73
2021-02-04,도봉구,345
2021-02-04,동작구,522
2021-02-04,마포구,42
2021-02-04,서대문구,29
2021-02-04,서초구,246
2021-02-04,성동구,0
2021-02-04,성북구,0
2021-02-04,송파구,0
2021-02-04,양천구,220
2021-02-04,영등포구,339
2021-02-04,용산구,96
